Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Адвокатский кабинет Степанов В.В.;+7–961–800–20–20;Санкт-Петербург, Малая Посадская, 5;svvpravo.ru;
Смолина, Малкин и партнеры;+7–952–378–11–46;Санкт-Петербург, Бабушкина, 81 к1;smolina-malkin.ru;
Адвокатский кабинет Бабакаевой Р.Х.;+7–921–406–64–95;Санкт-Петербург, Сикейроса, 12;;
Femida.spb.ru;+7–911–002–55–66;Санкт-Петербург, Фрунзе, 10;femida.spb.ru;
Принцепс;+7 (812) 942–27–97, +7 (812) 325–46–26, +7–921–956–37–06;Санкт-Петербург, Гаванская, 3;zpp-spb.ru;
АРБиКОН, ООО;+7 (812) 314–77–11;Санкт-Петербург, Набережная реки Мойки, 90;;
ЮРИДИЧЕСКИЙ ЦЕНТР ПРАВОВОЙ ПОДДЕРЖКИ БИЗНЕСА, ООО;+7–921–944–85–15, +7 (812) 372–56–85;БЦ Покровский остров,Санкт-Петербург, Набережная канала Грибоедова, 126;www.spblawcenter.ru;
Адвокатский кабинет Зайцева Е.В.;+7–921–401–54–60, +7 (812) 98–152–98;Санкт-Петербург, Достоевского, 40-44;;
Семейные Интересы;+7 (812) 642–54–52;Санкт-Петербург, Садовая, 53;sovetov.org;
Юрист 24;+7 (812) 648–44–01;Санкт-Петербург, Фонтанная, 3;;
Гессена, ООО;+7 (812) 331–76–84, +7 (812) 331–76–85;Санкт-Петербург, 13-я линия В.О., 6-8;www.gessen-law.com;
Невское Право, ООО;+7–921–374–72–52;Санкт-Петербург, Московский проспект, 109 к2;;
Бюро бухгалтерских и юридических услуг;+7 (812) 449–64–71, +7 (812) 989–35–89;Санкт-Петербург, Чапаева, 11;ba-ramalis.ru;
Ремикс инвест, ЗАО;+7 (812) 961–38–68;Санкт-Петербург, Октябрьская набережная, 102 к2;;
Василиотти и Вы;+7–911–282–52–72;Санкт-Петербург, Выборгская, 8;vasiliotti.ru;
Технологии Бизнеса, ООО;+7 (812) 454–13–54;БЦ Сити Центр,Санкт-Петербург, Чапаева, 5;www.tbkf.ru;
Адвокатский кабинет Петровой О.В.;+7 (812) 941–89–08;Санкт-Петербург, Руставели, 13;;
Юридическая консультация №11;+7 (812) 645–13–61;Санкт-Петербург, Стачек проспект, 73;;
BESFER;+7–921–903–13–20, +7 (812) 339–92–63;Санкт-Петербург, Нарвский проспект, 22;www.besfer.ru;
Юр-Экспресс;+7–981–186–34–04, +7–921–866–50–66;Гатчина, Володарского, 29а;;
Стратегия успеха, ООО;+7–911–198–15–00, +7 (812) 310–99–68;Санкт-Петербург, Инженерная, 6;www.bkg-ss.ru;
Адвокаты Шестаков Д.Ю. и Кайзер В.В.;+7–921–333–69–30;Санкт-Петербург, Кораблестроителей, 16 к2;;
ЛенТехИнвентаризация, ООО;+7 (812) 916–50–15, +7 (812) 900–25–20;Санкт-Петербург, Киевская, 3;kad-center.ru;
Ваш адвокат;+7 (812) 929–18–17, +7 (812) 943–49–56;Санкт-Петербург, Тамбовская, 20;www.vashadvokat.spb.ru;
Rightmark group;+7 (812) 622–07–70;БЦ Лидер,Санкт-Петербург, Конституции площадь, 7;www.rightmark-group.ru;
ПитерСтар, ООО;+7 (812) 900–24–43;Санкт-Петербург, Алтайская, 4;www.piterstart.ru;
Ремнев и Партнеры, ООО;+7 (812) 949–60–02;БЦ Орлов,Санкт-Петербург, Парадная, 7;www.remnev.com;
Балтийская Налоговая Группа, ООО;+7 (812) 319–36–53;Бизнес-мегаполис Гайот,Санкт-Петербург, Профессора Попова, 23 лит В;www.bng-tax.ru;
Человек и закон;+7 (812) 340–47–85, +7 (812) 240–47–85;Санкт-Петербург, Октябрьский бульвар, 50/30;chelovek-zakon.ru;
Адвокатский кабинет Беркман О.В.;+7–911–239–10–80;Санкт-Петербург, Большая Зеленина, 1/44;;
Awara;+7 (812) 244–75–49;Санкт-Петербург, Садовая, 23/6 лит А;www.awaragroup.com;
ЮРЬЕВА И К, ООО;+7–950–005–55–37;Санкт-Петербург, Греческий проспект, 13;;
ПРИКАЗ;+7 (812) 915–12–05;Санкт-Петербург, Захарьевская, 12;prikaz.spb.ru;
ПрофБухУчет, ООО;+7 (812) 456–06–60;Санкт-Петербург, Гранитная, 46 к3;buhu4et.ru;
Адвокат;+7 (812) 652–00–00, +7 (812) 294–17–18;Санкт-Петербург, Туристская, 23 к4;advokat-gorichev.ru;
Слободин и Партнёры;+7 (812) 906–72–99, +7 (812) 962–32–95;Санкт-Петербург, Среднеохтинский проспект, 9;;
Юридическая компания;+7 (812) 640–49–80, +7–981–790–00–10;БЦ Атлант,Санкт-Петербург, Лиговский проспект, 50 к6;;
Адвокатская консультация №12;+7 (812) 961–07–69, +7 (812) 387–05–22;Санкт-Петербург, Московский проспект, 163 к2;;
Гарант-Право;+7 (812) 642–54–94;БЦ Приморский,Санкт-Петербург, Липовая аллея, 9;www.garantpravo-spb.ru;
Аудит-Бизнес-Платформа, ООО;+7 (812) 579–44–54, +7 (812) 272–60–08;Санкт-Петербург, Чехова, 3 лит А;www.abpconsultant.ru;
Адвокатский кабинет Морковкиной М.С.;+7–921–332–53–33;Санкт-Петербург, Малая Морская, 9;morkovkina.ru;
юрист. club;+7 (812) 649–20–19;Санкт-Петербург, Московский проспект, 216;юрист.club;
Адвокатский кабинет Баранова Б.А.;+7–904–610–39–82;Санкт-Петербург, Ленина проспект, 18;;
Юрфирм, ООО;+7–921–916–47–07;Санкт-Петербург, Камчатская, 9 лит Б;;
STOP COLLECTION;+7–921–902–30–45, +7 (812) 337–53–73;Санкт-Петербург, Невский проспект, 173;dolzhnikam.ru;
АСБ;+7–953–349–33–80, +7 (812) 987–71–37, +7–921–993–36–85;Санкт-Петербург, Гродненский переулок, 14;asb-advokat.ru;
Верный выбор;+7–921–419–60–12;ТОЦ Рубикон,Санкт-Петербург, Гражданский проспект, 119;www.advospb.ru;
Феникс;+7 (812) 655–00–48, +7 (812) 970–71–58, +7–901–300–69–99;Санкт-Петербург, Индустриальный проспект, 17 к3;fzspb.com;
РусСюрвей;+7 (812) 602–13–10, +7–921–944–08–37;Санкт-Петербург, Двинская, 3;www.rus-survey.ru;
ЮрАспект, ООО;+7–921–979–04–76, +7–921–355–61–44;Санкт-Петербург, Ленинский проспект, 161;;
А-2, ООО;+7–911–219–50–39;Санкт-Петербург, Малая Морская, 11;;
Адвокат;+7 (812) 652–00–00, +7 (812) 294–17–18;БЦ Сервис Плюс,Санкт-Петербург, Заставская, 33;advokat-gorichev.ru;
РОССПРАВО;+7 (812) 908–27–25, +7 (812) 423–37–25, +7–911–967–48–38;Санкт-Петербург, Красного Флота, 23а;ka-rosspravo.ru;
Юридический дом Фемида, ООО;+7–981–686–66–66;БЦ Кадр,Санкт-Петербург, Боровая, 47 к2;;
ИнтеллектуалЪ;+7 (812) 961–07–17;БЦ Мицар,Санкт-Петербург, Пулковское шоссе, 9 к3;9610717.ru;
Юралинк Джиниус;+7 (812) 606–66–24, +7 (812) 374–65–75;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;;
Корпорация права, ООО;+7 (812) 921–63–01;Санкт-Петербург, Невский проспект, 24;корпорацияправа.рф;
Ваш юрист, ООО;8–800–775–84–65;Санкт-Петербург, Лётчика Пилютова, 1;store10787018.ecwid.com;
Байкал;+7–981–720–44–34, +7–921–371–30–15;Санкт-Петербург, Ропшинское шоссе, 4;адвокатвпетербурге.рф;
Доверие, ООО;+7–904–216–88–12;Санкт-Петербург, Гжатская, 22 к1;doverie-law.spb.ru;
Адвокатская консультация Заневская;+7 (812) 627–68–53;Санкт-Петербург, Наставников проспект, 19;;
Адвокатский кабинет Магер В.А.;+7–911–928–48–38;Санкт-Петербург, Гагаринская, 6а;www.mager.ru;
ЮРВИЗИТ, ООО;+7 (812) 927–23–32, +7 (812) 943–26–59;Санкт-Петербург, Седова, 88;www.urvizit.com;
Ваш Поверенный;+7 (812) 986–95–70, +7 (812) 627–60–50;Санкт-Петербург, Каменноостровский проспект, 38;;
Гросс Финанс;+7 (812) 923–64–28, +7 (812) 947–13–79;БЦ Покровский остров,Санкт-Петербург, Набережная канала Грибоедова, 126;g-finance.ru;
Август, ООО;+7–921–654–97–68;Санкт-Петербург, Большой проспект П.С., 7;www.avgust-ust.narod.ru;
Юридическая компания Петра Богданова;+7 (812) 920–24–30;БЦ Софийская площадь,Санкт-Петербург, Белы Куна, 30 лит А;9202430.ru;
Грифон;+7 (812) 648–46–04, +7–905–287–31–11;Санкт-Петербург, Косыгина проспект, 31 к3;мойадвокатспб.рф;
Премиум-право;+7–921–433–38–00, +7–911–741–17–77;БЦ Гулливер 2,Санкт-Петербург, Торфяная дорога, 7 лит Ф;premium-pravo.ru;
